Age by Educational Attainment,Illinois Total Population,Illinois Pop %,Illinois Male Population,Illinois Male %,Illinois Female Population,Illinois Female %,Chicago Metro Total Population,Chicago Metro %,Chicago Male Population,Chicago Male %,Chicago Female Population,Chicago Female %,Texas Population,Texas Population %,Male Population,Male Population %,Female Population,Female Population %,Houston Metro Population,Houston Metro Population %,Houston Male Population,Houston Male %,Houston Female Population,Houston Female %,Label/Group,California Estimate,California Percent,California Male Estimate,California Male Percent,California Female Estimate,California Female Percent,Los Angeles City Estimate,Los Angeles City Percent,Los Angeles City Male Estimate,Los Angeles City Male Percent,Los Angeles City Female Estimate,Los Angeles City Female Percent,Philadelphia Total Population,Philadelphia Pop %,Philadelphia Male Population,Philadelphia Male %,Philadelphia Female Population,Philadelphia Female %,Phoenix Total Population,Phoenix Pop %,Phoenix Male Population,Phoenix Male %,Phoenix Female Population,Phoenix Female %
    Population 18 to 24 years,"1,174,031",(X),"597,348",(X),"576,683",(X),"855,944",(X),"433,876",(X),"422,068",(X),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Less than high school graduate,"138,521",11.8%,"78,436",13.1%,"60,085",10.4%,"100,781",11.8%,"56,432",13.0%,"44,349",10.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        High school graduate (includes equivalency),"352,546",30.0%,"197,183",33.0%,"155,363",26.9%,"262,541",30.7%,"144,304",33.3%,"118,237",28.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Some college or associate's degree,"513,656",43.8%,"248,837",41.7%,"264,819",45.9%,"355,685",41.6%,"173,489",40.0%,"182,196",43.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Bachelor's degree or higher,"169,308",14.4%,"72,892",12.2%,"96,416",16.7%,"136,937",16.0%,"59,651",13.7%,"77,286",18.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Population 25 years and over,"8,686,700",(X),"4,192,319",(X),"4,494,381",(X),"6,462,467",(X),"3,105,898",(X),"3,356,569",(X),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Less than 9th grade,"401,341",4.6%,"197,335",4.7%,"204,006",4.5%,"345,231",5.3%,"168,905",5.4%,"176,326",5.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        9th to 12th grade, no diploma","496,997",5.7%,"265,503",6.3%,"231,494",5.2%,"355,992",5.5%,"186,415",6.0%,"169,577",5.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        High school graduate (includes equivalency),"2,220,409",25.6%,"1,114,407",26.6%,"1,106,002",24.6%,"1,523,101",23.6%,"759,600",24.5%,"763,501",22.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Some college, no degree","1,775,548",20.4%,"851,129",20.3%,"924,419",20.6%,"1,247,436",19.3%,"595,474",19.2%,"651,962",19.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
